,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM
0,0.0,0.5184400000000025,28.338,21.63999,21.63999,37.18566,45.01724,100.0,1752.0,12166.0,0.0,0.0,15.0,1635.0,21.41006,20.68641,118.48057,0.10209,12.0956813913,0.0,0.0
1,5.0,0.5184400000000025,28.338,21.71998,21.59999,37.15133,44.83795,100.0,1855.0,12180.0,80.0,5040.0,45.0,5445.0,21.39671,20.68908,116.2694,3.38262,393.295197828,100.0,100.0
2,10.0,0.5184400000000025,28.338,22.5,22.46099,37.13989,44.02732,100.0,1806.0,11981.0,80.0,5010.0,45.0,5415.0,21.44744,20.72914,118.05053,3.31518,391.3587560454,100.0,100.0
3,15.0,0.5184400000000025,28.338,24.18499,24.03698,37.07695,43.38836,100.0,1787.0,11955.0,80.0,5025.0,45.0,5415.0,21.92276,20.75317,117.63987,3.23225,380.2414698075,100.0,100.0
4,20.0,0.5184400000000025,28.338,26.39199,26.17799,36.70692,43.16711,100.0,1772.0,11925.0,80.0,5040.0,45.0,5430.0,22.77992,20.85731,118.32698,3.22767,381.9204435366,100.0,100.0
5,25.0,0.5184400000000025,28.338,28.72399,28.55099,35.66932,42.90199,100.0,1752.0,11899.0,80.0,5040.0,45.0,5415.0,23.86672,21.01486,117.03569,3.17147,371.1751797643,100.0,100.0
6,30.0,0.5184400000000025,28.338,31.06399,30.93299,33.77532,42.81997,100.0,1768.0,11887.0,80.0,5055.0,45.0,5415.0,25.35408,21.14837,116.0465,3.13815,364.171323975,100.0,100.0
7,35.0,0.5184400000000025,28.338,33.34298,33.28099,31.95381,42.58346,100.0,1793.0,11883.0,80.0,5055.0,45.0,5415.0,26.61712,21.32728,118.88053,3.22795,383.7404068135,100.0,100.0
8,40.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
9,45.0,0.5184400000000025,28.338,35.54499,35.57499,30.2143,42.25158,100.0,1768.0,11876.0,80.0,5055.0,45.0,5415.0,27.83744,21.53022,118.66773,3.21054,380.9874938742,100.0,100.0
