,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM,Inductance/10000
0,0.0,0.6554999999999991,29.75,21.43998,21.23999,38.22135,43.95866,100.0,1608.0,14091.0,0.0,0.0,15.0,1605.0,21.79992,20.76385,119.70478,0.1318,15.777090004,0.0,0.0,234.8081
1,5.0,0.6554999999999991,29.75,21.39999,21.19999,38.22708,43.77746,65.0,875.0,14093.0,80.0,120.0,45.0,1620.0,21.79191,20.79589,117.44058,2.50688,294.4094411904,100.0,0.0,234.7218
2,10.0,0.6554999999999991,29.75,21.87998,21.63999,38.14888,43.26629,100.0,1846.0,13933.0,80.0,5040.0,45.0,5370.0,21.79191,20.76919,118.87794,3.3655,400.08370707,100.0,100.0,234.6729
3,15.0,0.6554999999999991,29.75,23.34599,23.15299,38.12026,42.67501,100.0,1772.0,13927.0,80.0,5070.0,45.0,5370.0,22.06161,20.81192,119.10589,3.27537,390.1158589293,100.0,100.0,234.6592
4,20.0,0.6554999999999991,29.75,25.66598,25.29598,37.95814,42.53959,100.0,1714.0,13924.0,80.0,5085.0,45.0,5370.0,22.77725,20.86532,117.52191,3.19752,375.7786576632,100.0,100.0,234.5995
5,25.0,0.6554999999999991,29.75,28.17199,27.68899,37.02163,42.2573,100.0,1750.0,13907.0,80.0,5085.0,45.0,5370.0,24.02694,20.9481,117.63987,3.15705,371.3949515835,100.0,100.0,234.6327
6,30.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
7,35.0,0.6554999999999991,29.75,30.76599,30.16598,35.46905,41.93305,100.0,1714.0,13870.0,80.0,5085.0,45.0,5370.0,25.24459,21.11099,115.52206,3.1035,358.52271321,100.0,100.0,234.6598
8,40.0,0.6554999999999991,29.75,33.31199,32.51599,33.21266,41.87774,100.0,1466.0,13837.0,80.0,5085.0,45.0,5370.0,26.73461,21.29257,119.00492,3.18949,379.5650022908,100.0,100.0,234.6544
9,45.0,0.6554999999999991,29.75,35.75698,34.78099,31.38351,41.46957,100.0,1750.0,13812.0,80.0,5100.0,45.0,5370.0,27.97897,21.49818,117.97479,3.14575,371.1191956425,100.0,100.0,234.6571
10,50.0,0.6554999999999991,29.75,38.14698,36.90899,29.34455,41.25976,100.0,1714.0,13808.0,80.0,5100.0,45.0,5385.0,29.3515,21.67709,115.99868,3.11398,361.2175695464,100.0,100.0,234.6447
