"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM"
1710193200000,1.5440000000000005,0.5600000000000005,28.348,21.63999,21.55999,37.89329,40.19165,100,1787,12162,0,0,15,1620,21.66641,21.15638,120.49526,0.12152,14.6425839952,0,0
1710193205000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1710193210000,1.5400000000000027,0.5560000000000027,28.344,21.63999,21.55999,37.89329,40.21263,100,1787,12169,0,0,15,1620,21.66107,21.16439,120.51828,0.12504,15.069605731200001,0,0
1710193215000,1.5420000000000016,0.5580000000000016,28.346,21.63999,21.51998,37.89329,40.22216,100,1806,12179,0,0,15,1635,21.66374,21.17774,119.59143,0.11788,14.0974377684,0,0
1710193220000,1.5420000000000016,0.5580000000000016,28.346,21.63999,21.55999,37.90283,40.23742,100,1677,12181,0,0,15,1620,21.66107,21.18576,119.41087,0.12152,14.5108089224,0,0
1710193225000,1.5440000000000005,0.5600000000000005,28.348,21.63999,21.55999,37.8704,40.22789,100,1714,12180,0,0,15,1620,21.63169,21.16973,117.89376,0.11415,13.457572704,0,0
1710193230000,1.5420000000000016,0.5580000000000016,28.346,21.59999,21.55999,37.85514,40.21644,100,1806,12165,0,0,15,1620,21.67175,21.17774,118.43112,0.11415,13.518912348,0,0
1710193235000,1.5420000000000016,0.5580000000000016,28.346,21.59999,21.51998,37.80364,40.2832,100,1914,12161,0,0,15,1620,21.65306,21.16706,118.06097,0.11788,13.9170271436,0,0
1710193240000,1.5440000000000005,0.5600000000000005,28.348,21.59999,21.59999,37.7655,40.32707,100,1806,12164,0,0,15,1620,21.65306,21.17507,120.26225,0.12152,14.614268619999999,0,0
1710193245000,1.5420000000000016,0.5580000000000016,28.346,21.59999,21.51998,37.77503,40.41099,100,1806,12174,0,0,15,1620,21.66374,21.17507,117.82315,0.12152,14.317869188,0,0
